City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
80,Ancud,CL,2021-05-24 19:46:41,-41.8697,-73.8203,54.43,71,91,12.97
81,Saskylakh,RU,2021-05-24 19:45:17,71.9167,114.0833,36.14,89,8,5.91
82,New Norfolk,AU,2021-05-24 19:43:54,-42.7826,147.0587,55.92,64,100,3.4
83,Pingliang,CN,2021-05-24 19:46:42,35.5392,106.6861,57.34,36,100,0.63
84,Sur,OM,2021-05-24 19:46:42,22.5667,59.5289,88.81,51,0,13.49
85,Dikson,RU,2021-05-24 19:46:42,73.5069,80.5464,21.74,91,46,7.83
86,Klaksvik,FO,2021-05-24 19:45:20,62.2266,-6.589,49.12,71,23,9.98
87,Payo,ID,2021-05-24 19:46:43,-3.7508,103.6372,73.24,96,55,2.06
88,Bengkulu,ID,2021-05-24 19:44:07,-3.8004,102.2655,75.7,93,99,3.76
89,Portland,US,2021-05-24 19:44:13,45.5234,-122.6762,60.13,89,90,4.0
90,Port Hardy,CA,2021-05-24 19:46:43,50.6996,-127.4199,53.78,82,90,6.91
91,Burnie,AU,2021-05-24 19:46:43,-41.0667,145.9167,54.95,90,100,9.98
92,Cidreira,BR,2021-05-24 19:44:02,-30.1811,-50.2056,59.88,62,0,17.83
93,Sept-Iles,CA,2021-05-24 19:46:43,50.2001,-66.3821,49.05,66,40,8.99
94,Yamada,JP,2021-05-24 19:46:44,39.4667,141.95,60.48,83,100,4.59
95,Kahului,US,2021-05-24 19:46:44,20.8947,-156.47,83.97,69,20,5.75
96,Hilo,US,2021-05-24 19:46:44,19.7297,-155.09,82.62,74,1,11.5
97,Ponnani,IN,2021-05-24 19:46:45,10.767,75.9252,83.52,84,100,6.13
98,Staritsa,RU,2021-05-24 19:46:45,56.5075,34.9354,46.62,88,1,5.97
99,Chuy,UY,2021-05-24 19:46:45,-33.6971,-53.4616,57.85,64,8,11.97
100,Bambous Virieux,MU,2021-05-24 19:46:46,-20.3428,57.7575,73.65,73,75,15.23
