City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,brumado,BR,74.98,scattered clouds,-14.2036,-41.6653,Hotel São Lázaro
604,longyan,CN,72.64,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
615,moorhead,US,75.07,overcast clouds,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
617,pringsewu,ID,72.77,broken clouds,-5.3582,104.9744,Urban Style by Front One
618,sumbe,AO,74.88,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
621,padang,ID,75.02,overcast clouds,-0.9492,100.3543,Mercure Padang
623,ipameri,BR,76.44,broken clouds,-17.7219,-48.1597,Real Hotel
626,banda aceh,ID,79.95,broken clouds,5.5577,95.3222,Sulthan Hotel International
629,takoradi,GH,79.72,light rain,4.8845,-1.7554,Raybow International Hotel
631,santa isabel do rio negro,BR,76.78,broken clouds,-0.4139,-65.0192,Hotel GSA
633,mawlaik,MM,78.46,clear sky,23.6333,94.4167,AKZ Guest House
636,grand forks,US,76.93,broken clouds,47.9417,-97.4337,Warrior Inn
643,puerto suarez,BO,75.56,overcast clouds,-18.95,-57.8,Hotel casa real
645,morehead,US,71.94,clear sky,37.2711,-87.1764,CCI Express Inn
656,nishihara,JP,75.25,moderate rain,26.1842,127.7558,Minshuku Agaihama
657,alyangula,AU,74.34,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
662,zemio,CF,72.88,few clouds,5.0314,25.1361,OCHA Office
671,sao felix do xingu,BR,76.5,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
673,kirando,TZ,71.69,clear sky,-7.4167,30.6,Lakeshore Lodge
675,belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
